system_name,id,staged_system_id,name,profile_name,product_code,dimensions,length_m,sheet_format,length_mm,width_mm,height_mm,thickness_mm,depth_mm,gauge_mm,diameter_mm,roll_m,weight_kg,pieces,volume_ml,weight_g,pack_format,supplier_pack_qty,supplier_pack_uom,supplier_pack_note,bal_rating,uom,image_url,website_url,parser_notes,extracted_at,sort_order,verification_status,reviewer_notes,created_at,updated_at
Linear Entrance,,,XLR130,XLR130,XLR130,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""12-13""}",,21,pending_review,,,
Linear Entrance,,,XLR140,XLR140,XLR140,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""12-13""}",,22,pending_review,,,
Linear Entrance,,,XLR150,XLR150,XLR150,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""12-13""}",,23,pending_review,,,
Linear Entrance,,,XLR160,XLR160,XLR160,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""12-13""}",,24,pending_review,,,
Linear Entrance,,,XLR170,XLR170,XLR170,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""12-13""}",,25,pending_review,,,
Linear Entrance,,,XLR500,XLR500,XLR500,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""12-13""}",,26,pending_review,,,
Linear Entrance,,,XLR500 (1200),XLR500 (1200),XLR500 (1200),"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""12-13""}",,27,pending_review,,,
Linear Entrance,,,XLR510,XLR510,XLR510,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""12-13""}",,28,pending_review,,,
Linear Entrance,,,XLR600,XLR600,XLR600,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""12-13""}",,29,pending_review,,,
Linear Entrance,,,XLR610,XLR610,XLR610,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""12-13""}",,30,pending_review,,,
Linear Entrance,,,XLR700,XLR700,XLR700,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""12-13""}",,31,pending_review,,,
Joinery Entrance,,,JST1,JST1,JST1,"Standard Door Size: 2040x620/720/770/820x40 (JST1, JST10); 2040x1200x40 (JST1); Custom Door Size: Min 1990x805x40 - Max 2400x1200x40; Standard Sidelite Size: 2040x400x40 (JST5, JST11); Custom Sidelite Size: Min 1990x330x40 - Max 2400x500x40 (JST11)",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""14-15""}",,32,pending_review,,,
Joinery Entrance,,,JST1 (1200),JST1 (1200),JST1 (1200),"Standard Door Size: 2040x1200x40 (JST1)",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""14-15""}",,33,pending_review,,,
Joinery Entrance,,,JST2,JST2,JST2,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40,,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""14-15""}",,34,pending_review,,,
Joinery Entrance,,,JST5,JST5,JST5,Standard Sidelite Size: 2040x400x40,,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""14-15""}",,35,pending_review,,,
Joinery Entrance,,,JST6,JST6,JST6,Standard Door Size: 2040x820x40,,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""14-15""}",,36,pending_review,,,
Joinery Entrance,,,JST10,JST10,JST10,"Standard Door Size: 2040x620/720/770/820x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""14-15""}",,37,pending_review,,,
Joinery Entrance,,,JST11,JST11,JST11,"Standard Sidelite Size: 2040x400x40; Custom Sidelite Size: Min 1990x330x40 - Max 2400x500x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""14-15""}",,38,pending_review,,,
Joinery Entrance,,,XL10,XL10,XL10,Standard Door Size: 2040x820x40,,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""14-15""}",,39,pending_review,,,
Illusion,,,XIL1,XIL1,XIL1,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""16-17""}",,40,pending_review,,,
Illusion,,,XIL6,XIL6,XIL6,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""16-17""}",,41,pending_review,,,
Illusion,,,XIL21,XIL21,XIL21,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""16-17""}",,42,pending_review,,,
Illusion,,,XIL26,XIL26,XIL26,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""16-17""}",,43,pending_review,,,
Vaucluse,,,XV1,XV1,XV1,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""18-19""}",,44,pending_review,,,
Vaucluse,,,XV4,XV4,XV4,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""18-19""}",,45,pending_review,,,
Vaucluse,,,XV7,XV7,XV7,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""18-19""}",,46,pending_review,,,
Vaucluse,,,XV9,XV9,XV9,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""18-19""}",,47,pending_review,,,
Vaucluse,,,XV10,XV10,XV10,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""18-19""}",,48,pending_review,,,
Vaucluse,,,XV14,XV14,XV14,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""18-19""}",,49,pending_review,,,
Vaucluse,,,XV18,XV18,XV18,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""18-19""}",,50,pending_review,,,
Vaucluse,,,XV20,XV20,XV20,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""18-19""}",,51,pending_review,,,
Vaucluse,,,XV31,XV31,XV31,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""18-19""}",,52,pending_review,,,
Vaucluse,,,XV32,XV32,XV32,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""18-19""}",,53,pending_review,,,
Newington,,,XN1,XN1,XN1,"Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40; Standard Sidelite Size: 2040x200x40 (XN14), 2040x400x40 (XN9, XN11, XN12); Custom Sidelite Size: Min 1990x330x40 - Max 2400x500x40",,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""20-21""}",,54,pending_review,,,
Newington,,,XN5,XN5,XN5,"Standard Door Size: 2040x820x40",,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""20-21""}",,55,pending_review,,,
Newington,,,XN6,XN6,XN6,"Standard Door Size: 2040x820x40",,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""20-21""}",,56,pending_review,,,
Newington,,,XN7,XN7,XN7,"Standard Door Size: 2040x820x40",,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""20-21""}",,57,pending_review,,,
Newington,,,XN9,XN9,XN9,"Standard Sidelite Size: 2040x400x40",,,,400,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""20-21""}",,58,pending_review,,,
Newington,,,XN11,XN11,XN11,"Standard Sidelite Size: 2040x400x40",,,,400,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""20-21""}",,59,pending_review,,,
Newington,,,XN12,XN12,XN12,"Standard Sidelite Size: 2040x400x40",,,,400,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""20-21""}",,60,pending_review,,,
Newington,,,XN14,XN14,XN14,"Standard Sidelite Size: 2040x200x40",,,,200,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""20-21""}",,61,pending_review,,,
Newington,,,XN16,XN16,XN16,"Standard Door Size: 2040x820x40",,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""20-21""}",,62,pending_review,,,
Regency,,,XR4,XR4,XR4,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40; Standard Sidelite Size: 2040x400x40; Custom Sidelite Size: Min 1990x330x40 - Max 2400x520x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""22-23""}",,63,pending_review,,,
Regency,,,XR4 (1200),XR4 (1200),XR4 (1200),"Standard Door Size: 2040x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""22-23""}",,64,pending_review,,,
Regency,,,XR5,XR5,XR5,"Standard Door Size: 2040x820x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""22-23""}",,65,pending_review,,,
Regency,,,XR6,XR6,XR6,"Standard Door Size: 2040x820x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""22-23""}",,66,pending_review,,,
Nexus,,,NEX30,NEX30,NEX30,"Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""24-25""}",,67,pending_review,,,
Nexus,,,NEX35,NEX35,NEX35,"Standard Door Size: 2040x820x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""24-25""}",,68,pending_review,,,
Nexus,,,NEX36,NEX36,NEX36,"Standard Door Size: 2040x820x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""24-25""}",,69,pending_review,,,
Nexus,,,NEX38,NEX38,NEX38,"Standard Door Size: 2040x820x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""24-25""}",,70,pending_review,,,
Nexus,,,NEX40,NEX40,NEX40,"Standard Door Size: 2040x1200x40; Custom Door Size: Min 1990x1020x40 - Max 2400x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""24-25""}",,71,pending_review,,,
Nexus,,,NEX100,NEX100,NEX100,"Standard Door Size: 2040x820x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""24-25""}",,72,pending_review,,,
Vaucluse Premier,,,XVP11,XVP11,XVP11,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Size Doors: Min 1990x805x40 - Max 2400x1200x40; Standard Sidelite Size: 2040x400x40; Sidelite Size: Min 1990x330x40 - Max 2400x500x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""26-27""}",,73,pending_review,,,
Vaucluse Premier,,,XVP12,XVP12,XVP12,"Standard Door Size: 2040x820x40, 2040x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""26-27""}",,74,pending_review,,,
Vaucluse Premier,,,XVP13,XVP13,XVP13,"Standard Door Size: 2040x820x40, 2040x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""26-27""}",,75,pending_review,,,
Vaucluse Premier,,,XVP17,XVP17,XVP17,"Standard Door Size: 2040x820x40, 2040x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""26-27""}",,76,pending_review,,,
Vaucluse Premier,,,XVP19,XVP19,XVP19,"Standard Door Size: 2040x820x40, 2040x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""26-27""}",,77,pending_review,,,
Vaucluse Premier,,,XVP20,XVP20,XVP20,"Standard Door Size: 2040x820x40, 2040x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""26-27""}",,78,pending_review,,,
Vaucluse Premier,,,XVP22,XVP22,XVP22,"Standard Door Size: 2040x820x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""26-27""}",,79,pending_review,,,
Vaucluse Premier,,,XVP22 (1200),XVP22 (1200),XVP22 (1200),"Standard Door Size: 2040x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""26-27""}",,80,pending_review,,,
Carringbush,,,XCB1,XCB1,XCB1,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1100x40; Standard Sidelite Size: 2040x400x40; Custom Sidelite Size: Min 1990x340x40 - Max 2400x520x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""28-29""}",,81,pending_review,,,
Carringbush,,,XCB2,XCB2,XCB2,Standard Door Size: 2040x820x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""28-29""}",,82,pending_review,,,
Carringbush,,,XCB7,XCB7,XCB7,Standard Door Size: 2040x820x40,,,,820,2040,40,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""28-29""}",,83,pending_review,,,
Glass Opening Entrance,,,XF1,XF1,XF1,"Standard Door Size: 2040x820x35/40; Custom Door Size: Min 1990x705x35/40 - Max 2400x1200x35/40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""30-31""}",,84,pending_review,,,
Glass Opening Entrance,,,SCXF1,SCXF1,SCXF1,"Standard Door Size: 2040x820x35/40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""30-31""}",,85,pending_review,,,
Glass Opening Entrance,,,XF3,XF3,XF3,"Standard Door Size: 2040x820x35/40; Custom Door Size: Min 1990x705x35/40 - Max 2400x1200x35/40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""30-31""}",,86,pending_review,,,
Glass Opening Entrance,,,SCXF3,SCXF3,SCXF3,"Standard Door Size: 2040x820x35/40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""30-31""}",,87,pending_review,,,
Glass Opening Entrance,,,XF8,XF8,XF8,"Standard Door Size: 2040x820x35/40",,,,,,,,,,,,,,,,,,,BAL12.5,ea,,,"{""source_pages"": ""30-31""}",,88,pending_review,,,
Elite Doors,,,XE1,XE1,XE1,"Standard Door Size: 2040x820x40, 2040x920x40, 2040x1200x40, 2340x1200x40; Custom Door Size: Made to order available",,,,,,,,,,,,,,,,,,,BAL12.5 / BAL19 / BAL29,ea,,,"{""source_pages"": ""32-33""}",,89,pending_review,,,
Elite Doors,,,XE2,XE2,XE2,"Standard Door Size: 2040x820x40, 2040x920x40, 2040x1200x40, 2340x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5 / BAL19 / BAL29,ea,,,"{""source_pages"": ""32-33""}",,90,pending_review,,,
Elite Doors,,,XE3,XE3,XE3,"Standard Door Size: 2040x820x40, 2040x920x40, 2040x1200x40, 2340x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5 / BAL19 / BAL29,ea,,,"{""source_pages"": ""32-33""}",,91,pending_review,,,
Elite Doors,,,XE4,XE4,XE4,"Standard Door Size: 2040x820x40, 2040x920x40, 2040x1200x40, 2340x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5 / BAL19 / BAL29,ea,,,"{""source_pages"": ""32-33""}",,92,pending_review,,,
Elite Doors,,,XE6,XE6,XE6,"Standard Door Size: 2040x820x40, 2040x920x40, 2040x1200x40, 2340x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5 / BAL19 / BAL29,ea,,,"{""source_pages"": ""32-33""}",,93,pending_review,,,
Elite Doors,,,XE9,XE9,XE9,"Standard Door Size: 2040x820x40, 2040x920x40, 2040x1200x40, 2340x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5 / BAL19 / BAL29,ea,,,"{""source_pages"": ""32-33""}",,94,pending_review,,,
Elite Doors,,,XE10,XE10,XE10,"Standard Door Size: 2040x820x40, 2040x920x40, 2040x1200x40, 2340x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5 / BAL19 / BAL29,ea,,,"{""source_pages"": ""32-33""}",,95,pending_review,,,
Elite Doors,,,XE11,XE11,XE11,"Standard Door Size: 2040x820x40, 2040x920x40, 2040x1200x40, 2340x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5 / BAL19 / BAL29,ea,,,"{""source_pages"": ""32-33""}",,96,pending_review,,,
Elite Doors,,,XE12,XE12,XE12,"Standard Door Size: 2040x820x40, 2040x920x40, 2040x1200x40, 2340x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5 / BAL19 / BAL29,ea,,,"{""source_pages"": ""32-33""}",,97,pending_review,,,
Elite Doors,,,XE13,XE13,XE13,"Standard Door Size: 2040x820x40, 2040x920x40, 2040x1200x40, 2340x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5 / BAL19 / BAL29,ea,,,"{""source_pages"": ""32-33""}",,98,pending_review,,,
Elite Doors,,,XE14,XE14,XE14,"Standard Door Size: 2040x820x40, 2040x920x40, 2040x1200x40, 2340x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5 / BAL19 / BAL29,ea,,,"{""source_pages"": ""32-33""}",,99,pending_review,,,
Elite Doors,,,XE21,XE21,XE21,"Standard Door Size: 2040x820x40, 2040x920x40, 2040x1200x40, 2340x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5 / BAL19 / BAL29,ea,,,"{""source_pages"": ""32-33""}",,100,pending_review,,,
Elite Doors,,,XE22,XE22,XE22,"Standard Door Size: 2040x820x40, 2040x920x40, 2040x1200x40, 2340x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5 / BAL19 / BAL29,ea,,,"{""source_pages"": ""32-33""}",,101,pending_review,,,
Elite Doors,,,XE23,XE23,XE23,"Standard Door Size: 2040x820x40, 2040x920x40, 2040x1200x40, 2340x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5 / BAL19 / BAL29,ea,,,"{""source_pages"": ""32-33""}",,102,pending_review,,,
Elite Doors,,,XE24,XE24,XE24,"Standard Door Size: 2040x820x40, 2040x920x40, 2040x1200x40, 2340x1200x40",,,,,,,,,,,,,,,,,,,BAL12.5 / BAL19 / BAL29,ea,,,"{""source_pages"": ""32-33""}",,103,pending_review,,,
