id,manufacturer_id,source_document_id,source_chunk_id,production_system_id,name,product_code,slug,category,subcategory,description,dimensions,length_m,double_sided,sheet_format,hero_image_url,website_url,source_label,source_url,fire_rating,bal_rating,acoustic_rating,moisture_resistant,structural_grade,install_guide_url,tech_data_url,notes,parser_notes,sort_order,extraction_confidence,extracted_at,verification_status,verified_by,verified_at,reviewer_notes,created_at,updated_at
,,,,,Vaucluse Premier,,vaucluse-premier,Entrance Doors,,Entrance door range with HMR MDF solid core.,"Standard Door Size: 2040x820x40, 2040x1200x40; Custom Size Doors: Min 1990x805x40 - Max 2400x1200x40; Standard Sidelite Size: 2040x400x40; Sidelite Size: Min 1990x330x40 - Max 2400x500x40",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL12.5,,,,,,,"{""source_pages"": ""26-27""}",11,,,pending_review,,,,,
,,,,,Carringbush,,carringbush,Entrance Doors,,Entrance door range with HMR MDF solid core.,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1100x40; Standard Sidelite Size: 2040x400x40; Custom Sidelite Size: Min 1990x340x40 - Max 2400x520x40,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL12.5,,,,,,,"{""source_pages"": ""28-29""}",12,,,pending_review,,,,,
,,,,,Glass Opening Entrance,,glass-opening-entrance,Entrance Doors,,Entrance glass opening door range.,"XF1, XF3 Standard Door Size: 2040x820x35/40; Custom Door Size: Min 1990x705x35/40 - Max 2400x1200x35/40",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL12.5,,,,,,,"{""source_pages"": ""30-31""}",13,,,pending_review,,,,,
,,,,,Elite Doors,,elite-doors,Aluminium,,Aluminium entrance door range.,"Standard Door Size: 2040x820x40, 2040x920x40, 2040x1200x40, 2340x1200x40; Custom Door Size: Made to order available",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL12.5 / BAL19 / BAL29,,,,,,,"{""source_pages"": ""32-33""}",14,,,pending_review,,,,,
,,,,,Elite Aluminium Frames,,elite-aluminium-frames,Aluminium,Frames,Aluminium frames for Elite aluminium door range.,Designed to suit Australian conditions; choose from seven powder coated finishes,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""34-36""}",15,,,pending_review,,,,,
,,,,,Elite Timber Frames,,elite-timber-frames,Aluminium,Frames,Timber frames designed for Elite aluminium doors.,Primed H3 Treated Pine / Meranti / Merbau,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""35""}",16,,,pending_review,,,,,
,,,,,Pivot Frames,,pivot-frames,Entrance Systems,Frames,Factory assembled frame with pivot operating system.,Allow for up to 1200 wide door,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL12.5,,,,,,,"{""source_pages"": ""37""}",17,,,pending_review,,,,,
,,,,,Standard Frames,,standard-frames,Entrance Systems,Frames,Factory prepared timber entrance frame.,Doors not included; choose from any door in entrance range,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""38""}",18,,,pending_review,,,,,
,,,,,Weatherguard Frames,,weatherguard-frames,Entrance Systems,Frames,Weatherguard entrance frame system with self-draining aluminium sill and perimeter seals.,Doors not included; choose from any door in entrance range,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL12.5,,,,,,,"{""source_pages"": ""39""}",19,,,pending_review,,,,,
,,,,,BAL19 & 29 Doors,,bal19-29-doors,Bushfire Resistant Doors & Frames,Doors,Bushfire resistant door range for BAL19 and BAL29.,Standard Door Size: 2040x820x40; Custom Door Size: Min 1990x805x40 - Max 2400x1200x40,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL19 / BAL29,,,,,,,"{""source_pages"": ""41""}",20,,,pending_review,,,,,
,,,,,BAL40 Doors,,bal40-doors,Bushfire Resistant Doors & Frames,Doors,Bushfire resistant door range for BAL40.,Standard Door Size: 2040x820x45; Custom Door Size: Min 1990x805x45 - Max 2340x1200x45; Standard Sidelite Size (BFR409): 2040x400x45; Custom Sidelite Size: Min 1990x330x45 - Max 2340x500x45,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL40,,,,,,,"{""source_pages"": ""42""}",21,,,pending_review,,,,,
,,,,,BAL19 & 29 Merbau Weatherguard Frames,,bal19-29-merbau-weatherguard-frames,Bushfire Resistant Doors & Frames,Frames,"Merbau Weatherguard entrance frames for BAL12.5, BAL19 and BAL29.",Doors not included; choose from BAL19 & BAL29 door range,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL19 / BAL29,,,,,,,"{""source_pages"": ""43""}",22,,,pending_review,,,,,
,,,,,BAL40 Merbau Weatherguard Frame,,bal40-merbau-weatherguard-frame,Bushfire Resistant Doors & Frames,Frames,Merbau Weatherguard entrance frame for BAL40.,Door and frame must be supplied together,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,BAL40,,,,,,,"{""source_pages"": ""44""}",23,,,pending_review,,,,,
,,,,,Frontier Track System,,frontier-track-system,Internal Barn Doors,Track System,Frontier barn door sliding track system.,Frontier Track Components,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""45""}",24,,,pending_review,,,,,
,,,,,Frontier Standard Barn Doors,,frontier-standard-barn-doors,Internal Barn Doors,Barn Doors,Frontier standard barn door range.,Standard Door Size: 2150x1000x35; Made to measure customised designs and sizing available,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""46""}",25,,,pending_review,,,,,
,,,,,Frontier Ultimate Barn Doors,,frontier-ultimate-barn-doors,Internal Barn Doors,Barn Doors,Frontier ultimate barn door range.,Standard Door Size: 2150x1000x35,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""47""}",26,,,pending_review,,,,,
,,,,,Luxe,,luxe,Internal Doors,,Internal door range.,"Standard Door Size: 2040x720/770/820x35, 2340x720/770/820x35; Custom Door Size: Min 1990x620x35 - Max 2400x1200x35",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""48-49""}",27,,,pending_review,,,,,
,,,,,Hampton,,hampton,Internal Doors,,Internal door range.,"Standard Door Size: 2040x520/620/720/770/820x35, 2340x520/620/720/770/820x35; Custom Door Size: Min 1990x400x35 - Max 2400x1200x35",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""50-51""}",28,,,pending_review,,,,,
,,,,,Bayview,,bayview,Internal Doors,,Internal door range with HMR MDF solid core.,"Standard Door Size: 2040x620/720/770/820x35, 2340x620/720/770/820x35; Custom Door Size: Min 1990x610x35 - Max 2400x1200x35",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""52-53""}",29,,,pending_review,,,,,
,,,,,Allure,,allure,Internal Doors,,Internal door range with HMR MDF solid core.,"Standard Door Size: 2040x620/720/770/820x35, 2340x620/720/770/820x35; Custom Door Size: Min 1990x610x35 - Max 2400x1200x35",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""54-55""}",30,,,pending_review,,,,,
,,,,,Humecraft,,humecraft,Internal Doors,,Internal door range with HMR MDF solid core.,"Standard Door Size: 2040x520/620/720/770/820x35, 2340x520/620/720/770/820x35; Custom Door Size: Min 1990x410x35 - Max 2400x1200x35",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""56-57""}",31,,,pending_review,,,,,
,,,,,Sorrento,,sorrento,Internal Doors,,Internal door range.,"Standard Door Size: 2040x520/620/720/770/820x35, 2340x520/620/720/770/820x35; Custom Door Size: Min 1990x410x35 - Max 2400x1200x35",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""58-59""}",32,,,pending_review,,,,,
,,,,,Joinery Internal,,joinery-internal,Internal Doors,,Internal door range with engineered joinery construction.,"Standard Door Size: 2040x620/720/770/820x35 (LIN1, LIN10), 2040x720/770/820x35 (LIN2); Custom Door Size (LIN1 only): Min 1990x400x35 - Max 2400x1200x35",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""60-61""}",33,,,pending_review,,,,,
,,,,,Linear Internal,,linear-internal,Internal Doors,,Internal door range with premium 6mm hollow core.,"Standard Door Size: 2040x520/620/720/770/820x35 (HLR210 excluded), 2340x520/620/720/770/820x35 (HLR210 excluded), 2040x620/720/770/820x35 (HLR210 only), 2340x720/770/820x35 (HLR210 only); Custom Door Size: Min 1990x410x35 - Max 2400x1200x35",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""62-63""}",34,,,pending_review,,,,,
,,,,,Accent,,accent,Internal Doors,,Internal door range.,"Standard Door Size: 2040x410/420/460/520/620/720/770/820x35, 2340x520/620/720/770/820x35; Custom Door Size: Min 1900x400x35 - Max 2400x1200x35",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""64-65""}",35,,,pending_review,,,,,
,,,,,Strata,,strata,Internal Doors,,Internal door range with honeycomb hollow core.,"Standard Door Size: 2040x520/620/720/770/820x35, 2340x520/620/720/770/820x35; Custom Door Size: Min 1990x330x35 - Max 2340x920x35",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""66-67""}",36,,,pending_review,,,,,
,,,,,Moulded Panel Woodgrain,,moulded-panel-woodgrain,Internal Doors,Moulded Panel,Moulded panel internal door range with woodgrain skin.,"Standard Door Size: 2040x410/420/460/520/620/720/770/820x35 (OAK, CAP), 2040x720/770/820x35 (OAK-G)",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""68-69""}",37,,,pending_review,,,,,
,,,,,Moulded Panel Smooth Skin,,moulded-panel-smooth-skin,Internal Doors,Moulded Panel,Moulded panel internal door range with smooth skin.,"Standard Door Size: 2040x410/420/460/520/620/720/770/820x35 (available: ASC, HAY), 2040x720/770/820x35 (available: ASC-G, HAY-G), 2340x620/720/770/820x35 (available: ASC)",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""68-69""}",38,,,pending_review,,,,,
,,,,,Flush Honeycomb Core,,flush-honeycomb-core,Flush Doors,,Flat panel flush door with honeycomb hollow core.,Thickness: 35mm; Typical use: Internal,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""70-71""}",39,,,pending_review,,,,,
,,,,,Flush Honeycomb X1 Core,,flush-honeycomb-x1-core,Flush Doors,,Flat panel flush door with honeycomb hollow core.,"Thickness: 35/40mm; Typical use: Internal, Back & Garage access doors where exposure and safety are not of concern",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""70-71""}",40,,,pending_review,,,,,
,,,,,Flush Solicore Core,,flush-solicore-core,Flush Doors,,Flat panel flush door with solicore core.,"Thickness: 35/40mm; Typical use: Internal, Back doors, Garage access doors, Commercial Buildings / High rises",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""70-71""}",41,,,pending_review,,,,,
,,,,,Flush Blockboard Core,,flush-blockboard-core,Flush Doors,,Flat panel flush door with solid timber pine core.,Core: Solid timber pine core,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""70-71""}",42,,,pending_review,,,,,
,,,,,Flush Premium 6mm Core,,flush-premium-6mm-core,Flush Doors,,Flat panel flush door with maximum density honeycomb core and 6mm skin.,Core: Maximum Density Honeycomb Core with 6mm skin; also referred to as Semi Solid,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""70-71""}",43,,,pending_review,,,,,
,,,,,Insulator,,insulator,Internal Systems,Garage Door System,Complete internal garage door system.,Suits any Internal Door,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""72-73""}",44,,,pending_review,,,,,
,,,,,Evolution Timber Cavity,,evolution-timber-cavity,Internal Systems,Cavity Unit,Timber cavity unit for 35mm thick internal doors.,Suits any 35mm thick Internal Door; supports doors up to 70kg,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""74-75""}",45,,,pending_review,,,,,
,,,,,Evolution Steel Cavity,,evolution-steel-cavity,Internal Systems,Cavity Unit,Galvanised steel cavity unit.,Support doors up to 70kg,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""76""}",46,,,pending_review,,,,,
,,,,,Evolution Premium,,evolution-premium,Internal Systems,Cavity Unit,Fully customised Evolution Premium cavity unit solution.,Every Evolution Premium unit is a fully customised solution,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""76-77""}",47,,,pending_review,,,,,
,,,,,Cavity Unit Extras,,cavity-unit-extras,Internal Systems,Cavity Unit Extras,Additional cavity unit accessories.,Cavity Flush Pull Converter; Evolution Soft Closer; Evolution Touch; Cavity track door stop; Double adaptor kit,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""76-77""}",48,,,pending_review,,,,,
,,,,,Smartrobe,,smartrobe,Internal Systems,Wardrobe Sliding System,Smartrobe sliding system for internal doors.,Suits any 35mm thick Internal Door; calculation table lists unit and stud sizes by door width and number of doors,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""78-79""}",49,,,pending_review,,,,,
,,,,,Bi-Fold,,bi-fold,Internal Systems,Folding Door System,Bi-Fold internal system.,2 Leaf Set (Bi-Fold track plus pack); 4 Leaf Set (2.0m track plus pack/s),,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""80-81""}",50,,,pending_review,,,,,
,,,,,Multi-Fold,,multi-fold,Internal Systems,Folding Door System,Multi-Fold internal system.,4 Leaf Set (2.0m track plus pack/s); 6 Leaf Set (2.5m track plus pack/s); 8 Leaf Set (3.4m track plus pack/s),,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""80-81""}",51,,,pending_review,,,,,
,,,,,Prehung,,prehung,Internal Systems,Prehung Door System,Factory prepared and ready to install prehung internal door system.,Suits any Internal Door; can be supplied 870mm or wider to comply with livable housing regulations,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""82""}",52,,,pending_review,,,,,
,,,,,Timber Mouldings Profiles,,timber-mouldings-profiles,Timber,Mouldings,Timber moulding profile ranges.,Timber catalogues and timber profiles referenced by QR code,,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""83""}",53,,,pending_review,,,,,
,,,,,Steel Door Frame,,steel-door-frame,Hume Commercial,Steel Door Frames,Steel door frame range.,"Available in Zinc, Galvanized, Stainless steel, Primed",,,,,,HUME Catalogue 2026 Version 1.0,https://www.humedoors.com.au/download?file=%2Fs%2Ffiles%2F1%2F0731%2F6868%2F3252%2Ffiles%2FHUME-Catalogue-2026_17-email.pdf,,,,,,,,,"{""source_pages"": ""84""}",54,,,pending_review,,,,,
