system_name,id,staged_system_id,name,profile_name,product_code,dimensions,length_m,sheet_format,length_mm,width_mm,height_mm,thickness_mm,depth_mm,gauge_mm,diameter_mm,roll_m,weight_kg,pieces,volume_ml,weight_g,pack_format,supplier_pack_qty,supplier_pack_uom,supplier_pack_note,bal_rating,uom,image_url,website_url,parser_notes,extracted_at,sort_order,verification_status,reviewer_notes,created_at
TenBend knockdown doorframes to suit stud construction,,,Standard frame dimensions - 95mm back opening,Standard frame dimensions - 95mm back opening,,"Back Opening 95mm; A 51; Overall Dimension 133x52; section drawing includes 41mm, 40mm, 19mm, 12mm and 6mm dimensions",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 11""}",,,pending_review,,
TenBend knockdown doorframes to suit stud construction,,,Standard frame dimensions - 102mm back opening,Standard frame dimensions - 102mm back opening,,"Back Opening 102mm; A 58; Overall Dimension 140x52; section drawing includes 41mm, 40mm, 19mm, 12mm and 6mm dimensions",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 11""}",,,pending_review,,
TenBend knockdown doorframes to suit stud construction,,,Standard frame dimensions - 114mm back opening,Standard frame dimensions - 114mm back opening,,"Back Opening 114mm; A 70; Overall Dimension 152x52; section drawing includes 41mm, 40mm, 19mm, 12mm and 6mm dimensions",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 11""}",,,pending_review,,
TenBend knockdown doorframes to suit stud construction,,,Slider frame dimensions - 95mm back opening,Slider frame dimensions - 95mm back opening,,"Back Opening 95mm; A 25; section drawing includes 145mm, 40mm and 6mm dimensions",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 11""}",,,pending_review,,
TenBend knockdown doorframes to suit stud construction,,,Slider frame dimensions - 114mm back opening,Slider frame dimensions - 114mm back opening,,"Back Opening 114mm; A 15.5; section drawing includes 145mm, 40mm and 6mm dimensions",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 11""}",,,pending_review,,
Cavity Slider knockdown kit,,,RegalFrame Knockdown Cavity Slider,RegalFrame Knockdown Cavity Slider,,"Complete with doorframe, track & roller kit and internal cavity frame; 114mm back opening; architrave width 60mm",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, pages 12-13""}",,,pending_review,,
Cavity Slider knockdown kit,,,Deluxe Frame Cavity Slider,Deluxe Frame Cavity Slider,,"Complete with doorframe, track & roller kit and internal cavity frame; 114mm back opening; architrave width 60mm",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, pages 12-13""}",,,pending_review,,
Cavity Slider knockdown kit,,,TenBend Frame Cavity Slider,TenBend Frame Cavity Slider,,"Complete with doorframe, track & roller kit and internal cavity frame; 114mm back opening; architrave width 60mm",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, pages 12-13""}",,,pending_review,,
Cavity Slider knockdown kit,,,Single cavity slider unit door width 720mm,Single cavity slider unit door width 720mm,,Single; door heights 2040mm or 2340mm; stud opening formula door width x 2 + 30 and door height + 75,,,,,,,,,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, pages 13 and 18""}",,,pending_review,,
Cavity Slider knockdown kit,,,Single cavity slider unit door width 820mm,Single cavity slider unit door width 820mm,,Single; door heights 2040mm or 2340mm; stud opening formula door width x 2 + 30 and door height + 75,,,,,,,,,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, pages 13 and 18""}",,,pending_review,,
Cavity Slider knockdown kit,,,Single cavity slider unit door width 870mm,Single cavity slider unit door width 870mm,,Single; door heights 2040mm or 2340mm; stud opening formula door width x 2 + 30 and door height + 75,,,,,,,,,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, pages 13 and 18""}",,,pending_review,,
Cavity Slider knockdown kit,,,Single cavity slider unit door width 920mm,Single cavity slider unit door width 920mm,,Single; door heights 2040mm or 2340mm; stud opening formula door width x 2 + 30 and door height + 75,,,,,,,,,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, pages 13 and 18""}",,,pending_review,,
Cavity Slider knockdown kit,,,Single cavity slider unit door width 1020mm,Single cavity slider unit door width 1020mm,,Single; door heights 2040mm or 2340mm; stud opening formula door width x 2 + 30 and door height + 75,,,,,,,,,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, pages 13 and 18""}",,,pending_review,,
Cavity Slider knockdown kit,,,Single cavity slider unit door width 1200mm,Single cavity slider unit door width 1200mm,,Single; door heights 2040mm or 2340mm; stud opening formula door width x 2 + 30 and door height + 75,,,,,,,,,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, pages 13 and 18""}",,,pending_review,,
Cavity Slider knockdown kit,,,Double cavity slider unit door width 2 x 720mm,Double cavity slider unit door width 2 x 720mm,,Double; door heights 2040mm or 2340mm; stud opening formula door width x 4 - 25 and door height + 75,,,,,,,,,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, pages 13 and 18""}",,,pending_review,,
Cavity Slider knockdown kit,,,Double cavity slider unit door width 2 x 820mm,Double cavity slider unit door width 2 x 820mm,,Double; door heights 2040mm or 2340mm; stud opening formula door width x 4 - 25 and door height + 75,,,,,,,,,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, pages 13 and 18""}",,,pending_review,,
Cavity Slider knockdown kit,,,Double cavity slider unit door width 2 x 870mm,Double cavity slider unit door width 2 x 870mm,,Double; door heights 2040mm or 2340mm; stud opening formula door width x 4 - 25 and door height + 75,,,,,,,,,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, pages 13 and 18""}",,,pending_review,,
Cavity Slider knockdown kit,,,Double cavity slider unit door width 2 x 920mm,Double cavity slider unit door width 2 x 920mm,,Double; door heights 2040mm or 2340mm; stud opening formula door width x 4 - 25 and door height + 75,,,,,,,,,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, pages 13 and 18""}",,,pending_review,,
Standard Split metal doorframes,,,Standard frame dimensions - 85-125mm back opening,Standard frame dimensions - 85-125mm back opening,,"Back Opening 85-125mm; A 60; section drawing includes 72mm, 50mm, 42mm, 15mm, 14mm and 7mm dimensions",,,,,,,,1.2,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 14""}",,,pending_review,,
Standard Split metal doorframes,,,Standard frame dimensions - 125-150mm back opening,Standard frame dimensions - 125-150mm back opening,,"Back Opening 125-150mm; A 85; section drawing includes 72mm, 50mm, 42mm, 15mm, 14mm and 7mm dimensions",,,,,,,,1.2,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 14""}",,,pending_review,,
Standard Split metal doorframes,,,Available back opening - 70-85mm,Available back opening - 70-85mm,,Also available in 70-85mm back opening,,,,,,,,1.2,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 14""}",,,pending_review,,
Standard Split metal doorframes,,,Available back opening - 150-200mm,Available back opening - 150-200mm,,Also available in 150-200mm back opening,,,,,,,,1.2,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 14""}",,,pending_review,,
Standard Split metal doorframes,,,Available back opening - 200mm+,Available back opening - 200mm+,,Also available in 200mm+ back opening,,,,,,,,1.2,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 14""}",,,pending_review,,
3 Section Split metal doorframes,,,3 Section Split frame dimensions,3 Section Split frame dimensions,,"Min Back Opening 160mm; coverplate to suit wall thickness; section drawing includes 74mm, 50mm, 13mm, 10mm and 7mm dimensions",,,,,,,,1.2,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 15""}",,,pending_review,,
TenBend 3 Section Split metal doorframes,,,TenBend 3 Section Split frame dimensions,TenBend 3 Section Split frame dimensions,,"Min Back Opening 160mm; coverplate to suit wall thickness; section drawing includes 74mm, 40mm, 13mm and 10mm dimensions",,,,,,,,1.05,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 15""}",,,pending_review,,
Commercial metal doorframes,,,8 Bend,8 Bend,,Commercial doorframes available in 1.2-1.6mm and 2.0mm Zincanneal; Galvanized; 304 and 316 No4 finish Stainless steel,,,,,,,,,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 16""}",,,pending_review,,
Commercial metal doorframes,,,125/150/175 Cast in Tilt Panel Frames,125/150/175 Cast in Tilt Panel Frames,,Commercial doorframes available in 1.2-1.6mm and 2.0mm Zincanneal; Galvanized; 304 and 316 No4 finish Stainless steel,,,,,,,,,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 16""}",,,pending_review,,
Commercial metal doorframes,,,Alternative Cast in Profile,Alternative Cast in Profile,,Commercial doorframes available in 1.2-1.6mm and 2.0mm Zincanneal; Galvanized; 304 and 316 No4 finish Stainless steel,,,,,,,,,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 16""}",,,pending_review,,
Commercial metal doorframes,,,Dynabolt Masonry Frame,Dynabolt Masonry Frame,,Commercial doorframes available in 1.2-1.6mm and 2.0mm Zincanneal; Galvanized; 304 and 316 No4 finish Stainless steel,,,,,,,,,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 16""}",,,pending_review,,
Commercial metal doorframes,,,Stud Profile,Stud Profile,,Commercial doorframes available in 1.2-1.6mm and 2.0mm Zincanneal; Galvanized; 304 and 316 No4 finish Stainless steel,,,,,,,,,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 16""}",,,pending_review,,
Commercial metal doorframes,,,Single Rebate,Single Rebate,,Commercial doorframes available in 1.2-1.6mm and 2.0mm Zincanneal; Galvanized; 304 and 316 No4 finish Stainless steel,,,,,,,,,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 16""}",,,pending_review,,
Commercial metal doorframes,,,Double Rebate,Double Rebate,,Commercial doorframes available in 1.2-1.6mm and 2.0mm Zincanneal; Galvanized; 304 and 316 No4 finish Stainless steel,,,,,,,,,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 16""}",,,pending_review,,
Meter Boxes,,,Single Gas Rebated,Single Gas Rebated,,"Diagram shows 503mm, 469mm and 272mm dimensions",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 17""}",,,pending_review,,
Meter Boxes,,,Single Electric Rebated with lock and view panel,Single Electric Rebated with lock and view panel,,"Diagram shows 503mm, 469mm and 272mm dimensions",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 17""}",,,pending_review,,
Meter Boxes,,,Single Gas non-rebated,Single Gas non-rebated,,"Diagram shows 503mm, 488mm and 272mm dimensions",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 17""}",,,pending_review,,
Meter Boxes,,,Single Electric non-rebated with lock and view panel,Single Electric non-rebated with lock and view panel,,"Diagram shows 503mm, 488mm and 272mm dimensions",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 17""}",,,pending_review,,
Meter Boxes,,,Combination Gas/Electric Non-rebated with lock and view panel both doors,Combination Gas/Electric Non-rebated with lock and view panel both doors,,"Diagram shows 1005mm, 502mm, 503mm, 488mm and 272mm dimensions",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 17""}",,,pending_review,,
Meter Boxes,,,Combination Gas/Electric Rebated with lock and view panel both doors,Combination Gas/Electric Rebated with lock and view panel both doors,,"Diagram shows 1005mm, 502mm, 503mm, 469mm and 272mm dimensions",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 17""}",,,pending_review,,
Meter Boxes,,,Combination Gas/Electric Non-rebated with lock and view panel one door,Combination Gas/Electric Non-rebated with lock and view panel one door,,"Diagram shows 1005mm, 502mm, 503mm, 488mm and 272mm dimensions",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 17""}",,,pending_review,,
Meter Boxes,,,Combination Gas/Electric Rebated with lock and view panel one door,Combination Gas/Electric Rebated with lock and view panel one door,,"Diagram shows 1005mm, 502mm, 503mm, 469mm and 272mm dimensions",,,,,,,,1.0,,,,,,,,,,,,,,www.jdsmetaldoorframes.com.au,"{""source_label"": ""JDS Catalogue 2020, page 17""}",,,pending_review,,
