system_name,id,manufacturer_id,source_document_id,source_chunk_id,production_component_id,sku,name,description,category,uom,length_mm,width_mm,height_mm,thickness_mm,depth_mm,gauge_mm,diameter_mm,roll_m,weight_kg,pieces,volume_ml,weight_g,pack_format,supplier_pack_qty,supplier_pack_uom,supplier_pack_note,material,finish,colour,profile,texture,coverage_m2,image_url,website_url,parser_notes,extracted_at,sort_order,extraction_confidence,verification_status,verified_by,verified_at,reviewer_notes,created_at,updated_at
Hardie™ Axent™ Trim,,,,,,305534,Hardie™ Joint Sealant 300mL cartridge,"A general purpose, paintable, exterior grade polyurethane joint sealant.",Sealant,,,,,,,,,,,,300,,box,20,,Selling Unit: 20 per box,polyurethane,paintable,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""33""}",,103,1.0,pending_review,,,,,
Primeline™ Weatherboard,,,,,,305513,"Hardie™ Aluminium Snap On Corner 2 piece 3,000mm","A ready to paint aluminium extrusion set, to be used at corner junctions.",Accessory,,3000,,,,,,,,,2,,,pack,5,,Selling Unit: 5 sets per pack,Aluminium,ready to paint,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""37""}",,105,1.0,pending_review,,,,,
Primeline™ Weatherboard,,,,,,305534,Hardie™ Joint Sealant 300mL cartridge,"A general purpose, paintable, exterior grade polyurethane joint sealant.",Sealant,,,,,,,,,,,,300,,box,20,,Selling Unit: 20 per box,polyurethane,paintable,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""37""}",,113,1.0,pending_review,,,,,
Hardie™ Groove Lining,,,,,,305979,Hardie™ Drive Screw 25mm Square Drive,A class 3 self-tapping wing-tipped screw for steel frames.,Fixing,,25,,,,,,,,,,,,box,1,,"Selling Unit: 1,000 per box",,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""41""}",,115,1.0,pending_review,,,,,
Hardie™ Groove Lining,,,,,,300660,Hardie™ Blade 185mm,A poly-diamond blade for fast and clean cutting of fibre cement products.,Tool,each,,,,,,,185,,,,,,,1,,Selling Unit: 1 each,,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""41""}",,119,1.0,pending_review,,,,,
EasyLap™ Panel,,,,,,306100,"Hardie™ 9mm Aluminium External Square Corner 3,000mm",Aluminium extrusion that creates a square edge in external corner.,Accessory,,3000,,,9,,,,,,,,,pack,5,,Selling Unit: 5 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""43""}",,121,1.0,pending_review,,,,,
EasyLap™ Panel,,,,,,304560,Hardie™ 50mm Foam Back Sealing Tape 25m roll,A self-adhesive foam tape to help improve water tightness.,Accessory,each,,50,,,,,,25,,,,,,1,,Selling Unit: 1 each,Foam,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""43""}",,126,1.0,pending_review,,,,,
Hardie™ Flex Sheet,,,,,,305554,"Hardie™ 45x45mm PVC Corner Angle Mould 3,000mm",A PVC extrusion used to finish internal and external corners.,Accessory,,3000,45,45,,,,,,,,,,pack,25,,Selling Unit: 25 per pack,PVC,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""45""}",,127,1.0,pending_review,,,,,
Hardie™ Flex Sheet,,,,,,305984,Hardie™ Drive Screw 41mm Square Drive,A class 3 self-tapping wing-tipped screw for steel frames.,Fixing,,41,,,,,,,,,,,,box,1,,"Selling Unit: 1,000 per box",,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""45""}",,136,1.0,pending_review,,,,,
Hardie™ Tex Base Sheet,,,,,,305984,Hardie™ Drive Screw 41mm Square Drive,A class 3 self-tapping wing-tipped screw for steel frames.,Fixing,,41,,,,,,,,,,,,box,1,,"Selling Unit: 1,000 per box",,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""47""}",,141,1.0,pending_review,,,,,
Hardie™ Tex Base Sheet,,,,,,305534,Hardie™ Joint Sealant 300mL cartridge,"A general purpose, paintable, exterior grade polyurethane joint sealant.",Sealant,,,,,,,,,,,,300,,box,20,,Selling Unit: 20 per box,polyurethane,paintable,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""47""}",,147,1.0,pending_review,,,,,
Hardie™ Plank Weatherboard,,,,,,305514,Hardie™ Plank 230mm Aluminium External Corner Soaker,"A ready to paint aluminium corner soaker for external corners.",Accessory,,,230,,,,,,,,,,,box,100,,Selling Unit: 100 per box,Aluminium,ready to paint,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""49""}",,149,1.0,pending_review,,,,,
Hardie™ Plank Weatherboard,,,,,,305534,Hardie™ Joint Sealant 300mL cartridge,"A general purpose, paintable, exterior grade polyurethane joint sealant.",Sealant,,,,,,,,,,,,300,,box,20,,Selling Unit: 20 per box,polyurethane,paintable,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""49""}",,159,1.0,pending_review,,,,,
Villaboard™ Lining,,,,,,305979,Hardie™ Drive Screw 25mm Square Drive,A class 3 self-tapping wing-tipped screw for steel frames.,Fixing,,25,,,,,,,,,,,,box,1,,"Selling Unit: 1,000 per box",,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""51""}",,162,1.0,pending_review,,,,,
Villaboard™ Lining,,,,,,305534,Hardie™ Joint Sealant 300mL cartridge,"A general purpose, paintable, exterior grade polyurethane joint sealant.",Sealant,,,,,,,,,,,,300,,box,20,,Selling Unit: 20 per box,polyurethane,paintable,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""51""}",,168,1.0,pending_review,,,,,
Villaboard™ Lining,,,,,,304491,Hardie™ Base Coat 15kg Bag,A water-resistant base coat compound.,Compound,each,,,,,,,,,15,,,,,1,,Selling Unit: 1 each,,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""51""}",,170,1.0,pending_review,,,,,
Versilux™ Lining,,,,,,305979,Hardie™ Drive Screw 25mm Square Drive,A class 3 self-tapping wing-tipped screw for steel frames.,Fixing,,25,,,,,,,,,,,,box,1,,"Selling Unit: 1,000 per box",,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""53""}",,184,1.0,pending_review,,,,,
Versilux™ Lining,,,,,,305506,"Hardie™ 4.5mm PVC Eave Soffit Express Jointer 3,000mm",A PVC extrusion used to join sheets in eave and soffit applications.,Accessory,,3000,,,4.5,,,,,,,,,pack,25,,Selling Unit: 25 per pack,PVC,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""53""}",,174,1.0,pending_review,,,,,
Hardie™ Panel Compressed Sheet,,,,,,305534,Hardie™ Joint Sealant 300mL cartridge,"A general purpose, paintable, exterior grade polyurethane joint sealant.",Sealant,,,,,,,,,,,,300,,box,20,,Selling Unit: 20 per box,polyurethane,paintable,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""55""}",,193,1.0,pending_review,,,,,
Hardie™ Ceramic Tile Underlay,,,,,,300653,Hardie™ Fibreshears,Electric tool for cutting fibre cement sheets.,Tool,each,,,,,,,,,,,,,,1,,Selling Unit: 1 each,,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""57""}",,195,1.0,pending_review,,,,,
Hardie™ Ceramic Tile Underlay,,,,,,305534,Hardie™ Joint Sealant 300mL cartridge,"A general purpose, paintable, exterior grade polyurethane joint sealant.",Sealant,,,,,,,,,,,,300,,box,20,,Selling Unit: 20 per box,polyurethane,paintable,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""57""}",,199,1.0,pending_review,,,,,
Hardie™ Secura™ Flooring,,,,,,305984,Hardie™ Drive Screw 41mm Square Drive,A class 3 self-tapping wing-tipped screw for steel frames.,Fixing,,41,,,,,,,,,,,,box,1,,"Selling Unit: 1,000 per box",,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""59""}",,201,1.0,pending_review,,,,,
Hardie™ Flex Eaves Lining,,,,,,305506,"Hardie™ 4.5mm PVC Eave Soffit Express Jointer 3,000mm",A PVC extrusion used to join sheets in eave and soffit applications.,Accessory,,3000,,,4.5,,,,,,,,,pack,25,,Selling Unit: 25 per pack,PVC,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""61""}",,207,1.0,pending_review,,,,,
Hardie™ Flex Eaves Lining,,,,,,300660,Hardie™ Blade 185mm,A poly-diamond blade for fast and clean cutting of fibre cement products.,Tool,each,,,,,,,185,,,,,,,1,,Selling Unit: 1 each,,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""61""}",,214,1.0,pending_review,,,,,
Hardie™ Edge Base Trim,,,,,,305914,Hardie™ Edge External Corner,An aluminium mould used with Hardie™ Edge Base Trim at external corners.,Accessory,,,,,,,,,,,,,,pack,4,,Selling Unit: 4 per pack,Aluminium,,Sable™ Brilliance,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""63""}",,216,1.0,pending_review,,,,,
Hardie™ Edge Base Trim,,,,,,305913,Hardie™ Edge Internal Corner,An aluminium mould used with Hardie™ Edge Base Trim at internal corners.,Accessory,,,,,,,,,,,,,,pack,4,,Selling Unit: 4 per pack,Aluminium,,Sable™ Brilliance,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""63""}",,217,1.0,pending_review,,,,,
Hardie™ Break Thermal Strip,,,,,,305984,Hardie™ Drive Screw 41mm Square Drive,A class 3 self-tapping wing-tipped screw for steel frames.,Fixing,,41,,,,,,,,,,,,box,1,,"Selling Unit: 1,000 per box",,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""65""}",,223,1.0,pending_review,,,,,
Hardie™ Deck,,,,,,306010,Hardie™ Deck Double Winged Base Jointer 225mm,Double wing base jointer used to join all long edges of Hardie™ Deck boards.,Accessory,,225,,,,,,,,,,,,,10,,Selling Unit: 10 packs of 35 (350 units),,,,,,30,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""69""}",,225,1.0,pending_review,,,,,
Hardie™ Deck,,,,,,306012,"Hardie™ Deck Snap-In Top Strip 3,000mm",Snaps into the base jointer after coating to conceal fasteners.,Accessory,,3000,,,,,,,,,,,,,10,,Selling Unit: 10 packs of 5 (50 units),,,,,,30,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""69""}",,226,1.0,pending_review,,,,,
Hardie™ Deck,,,,,,305844,"Fascia edge cap 3,000mm long",Used to fix the first board long edge and finish deck edge.,Accessory,,3000,,,,,,,,,,,,pack,10,,Selling Unit: 10 units per pack,,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""69""}",,230,1.0,pending_review,,,,,
ExoTec™ Facade Panel and System,,,,,,305557,"Hardie™ Backing Strip 1,190mm",A weather seal at horizontal panel joints.,Accessory,,1190,,,,,,,,,,,,pack,10,,Selling Unit: 10 per pack or each,,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""71""}",,232,1.0,pending_review,,,,,
ExoTec™ Facade Panel and System,,,,,,305948,"ExoTec™ Top Hat 6,000mm long",A rolled metal section to support facade panels and isolate differential movement.,Accessory,,6000,124,,,35,0.75,,,,,,,pack,45,,Selling Unit: 45 per pack,metal,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""71""}",,236,1.0,pending_review,,,,,
ExoTec™ Facade Panel and System,,,,,,305565,Hardie™ Facade Washers,Facade washers used for exposed fastener fixing.,Fixing,,,,,,,,,,,,,,bag,1,,"Selling Unit: 1,000 per bag",,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""71""}",,240,1.0,pending_review,,,,,
RAB™ Board,,,,,,305979,Hardie™ Drive Screw 25mm Square Drive,A class 3 self-tapping wing-tipped screw for steel frames.,Fixing,,25,,,,,,,,,,,,box,1,,"Selling Unit: 1,000 per box",,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""73""}",,241,1.0,pending_review,,,,,
RAB™ Board,,,,,,300653,Hardie™ Fibreshears,Electric tool for cutting fibre cement sheets.,Tool,each,,,,,,,,,,,,,,1,,Selling Unit: 1 each,,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""73""}",,243,1.0,pending_review,,,,,
Hardie™ Smart ZeroLot™ Wall System,,,,,,305903,Hardie™ Fire Insulation 60mm (600mm stud),"560 x 1,160 x 60mm; R-value 1.7; foil laminate; stud spacing 600mm.",Insulation,,,,,60,,,,,23.2,7,,,,,,,,,,,,5.1,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""83""}",,257,1.0,pending_review,,,,,
Hardie™ Smart ZeroLot™ Wall System,,,,,,305664,Hardie™ Wrap Weather Barrier,30m x 2.75m roll; 82.5m² coverage; Light duty classification.,Weather Barrier,,,2750,,,,,,30,9,,,,pack,1,,Selling units per pack: 1 each,,,,,,82.5,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""83""}",,260,1.0,pending_review,,,,,
Hardie™ Smart ZeroLot™ Wall System,,,,,,305886,"Hardie™ Aluminium Step Flashing 3,600mm",A reversible aluminium flashing for floor junctions.,Accessory,,3600,,,,,,,,,,,,pack,4,,Selling Unit: 4 per pack,Aluminium,,,,,,,,"{""source"": ""Hardie Product Catalogue June 2025"", ""page"": ""83""}",,261,1.0,pending_review,,,,,
